taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	ANI Cluster ID	IMG Release/Pipeline Version	NCBI Taxon ID	Strain	Genome Size   * assembled	Gene Count   * assembled	
642973599	Viruses	Finished	Pseudomonas phage PAJU2	Pseudomonas phage PAJU2	Kochi Medical School	642973599	dsDNA viruses, no RNA stage	Caudoviricetes	Caudovirales	Siphoviridae	unclassified	Pseudomonas phage PAJU2	0	IMG/W 2.8	504346		46872	79	
2597490329	Viruses	Permanent Draft	Okra enation leaf curl alphasatellite	Okra enation leaf curl alphasatellite	Madurai Kamaraj University	2597490329	Satellites	unclassified	unclassified	Alphasatellitidae	Gosmusatellite	Okra enation leaf curl alphasatellite	0	0	1249467		1350	1	
2738541828	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Hubei sobemo-like virus 24 WHLC5390	BGI Tech Solutions Co., Ltd.	2738541828	ssRNA (+) viruses	unclassified	unclassified	unclassified	unclassified	Hubei sobemo-like virus 24	0	0	1923210	WHLC5390	2223	2	
2711768813	Viruses	Permanent Draft	Pan troglodytes verus polyomavirus 2a RefSeq Genome	Pan troglodytes verus polyomavirus 2a 6512	Robert Koch Institute (RKI)	2711768813	dsDNA viruses, no RNA stage	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Pan troglodytes polyomavirus 3	0	0	928212	6512	5309	5	
2738541470	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Beihai noda-like virus 11 BHJJX49550	BGI Tech Solutions Co., Ltd.	2738541470	ssRNA (+) viruses	unclassified	unclassified	unclassified	unclassified	Beihai noda-like virus 11	0	0	1922464	BHJJX49550	4369	2	
650627060	Viruses	Finished	Murine adenovirus 2	Murine adenovirus 2	Hungarian Academy of Sciences (HAS)	650627060	dsDNA viruses, no RNA stage	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Murine mastadenovirus B	0	IMG/W 3.4	931972		35203	27	
2706795539	Viruses	Permanent Draft	Sumatran orang-utan polyomavirus RefSeq Genome	Sumatran orang-utan polyomavirus Pi	Biomedical Primate Research Centre, Netherlands	2706795539	dsDNA viruses, no RNA stage	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Pongo abelii polyomavirus 1	0	0	1604875	Pi	5358	5	
2595698813	Viruses	Finished	Brucella phage Pr	Brucella phage Pr	Cinvestav, Irapuato	2595698813	dsDNA viruses, no RNA stage	Caudoviricetes	Caudovirales	Podoviridae	Perisivirus	Brucella virus Pr	0	0	1133293		38253	57	
645948514	Viruses	Finished	Simian picornavirus strain N203	Simian picornavirus strain N203	Centers for Disease Control and Prevention (CDC), USA	645948514	ssRNA viruses	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Simian picornavirus strain N203	0	IMG/W 3.1	184754		7379	1	
2738542280	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Beihai picorna-like virus 54 BHNXC41489	BGI Tech Solutions Co., Ltd.	2738542280	ssRNA (+) viruses	unclassified	unclassified	unclassified	unclassified	Beihai picorna-like virus 54	0	0	1922599	BHNXC41489	10040	2	
638276045	Viruses	Finished	Erysimum latent virus	Erysimum latent virus	Australian National University	638276045	ssRNA viruses	Alsuviricetes	Tymovirales	Tymoviridae	Tymovirus	Erysimum latent virus	0	IMG/W 2.0	12152		6035	3	
2738542358	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Wenzhou picorna-like virus 38 WZSLuoI83635	BGI Tech Solutions Co., Ltd.	2738542358	ssRNA (+) viruses	unclassified	unclassified	unclassified	unclassified	Wenzhou picorna-like virus 38	0	0	1923624	WZSLuoI83635	8755	1	
642483463	Viruses	Finished	Malachra yellow vein mosaic virus-associated satellite DNA beta	Malachra yellow vein mosaic virus-associated satellite DNA beta		642483463	Satellites	unclassified	unclassified	Tolecusatellitidae	Betasatellite	Malachra yellow vein mosaic virus-associated satellite DNA beta	0	IMG/W 2.6	488255		1339	1	
2706795088	Viruses	Permanent Draft	Human pegivirus 2 RefSeq Genome	Human pegivirus 2 UC0125.US	University of California, San Francisco	2706795088	ssRNA viruses	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus H	0	0	1729141	UC0125.US	9867	1	
645948521	Viruses	Finished	Sulfolobus spindle-shaped virus 7	Sulfolobus spindle-shaped virus 7	University of Copenhagen	645948521	dsDNA viruses, no RNA stage	unclassified	unclassified	Fuselloviridae	Alphafusellovirus	Sulfolobus spindle-shaped virus 7	0	IMG/W 3.1	693628		17602	33	
2738542552	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Hubei picorna-like virus 66 SSZZ2530	BGI Tech Solutions Co., Ltd.	2738542552	ssRNA (+) viruses	unclassified	unclassified	unclassified	unclassified	Hubei picorna-like virus 66	0	0	1923149	SSZZ2530	11931	3	
2706795438	Viruses	Permanent Draft	Senegalese sole Iberian betanodavirus RefSeq Genome	Senegalese sole Iberian betanodavirus SpSsIAusc16003	Universidad de Santiago de Compostela	2706795438	ssRNA viruses	Magsaviricetes	Nodamuvirales	Nodaviridae	Betanodavirus	Senegalese sole Iberian betanodavirus	0	0	683176	SpSsIAusc16003	4526	2	
2738542294	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Shuangao Fly Virus 1 QSA06-1	BGI Tech Solutions Co., Ltd.	2738542294	ssRNA viruses	unclassified	unclassified	unclassified	unclassified	Shuangao Fly Virus 1	0	0	1608073	QSA06-1	5647	2	
2700989066	Viruses	Permanent Draft	Mycobacterium phage 39HC	Mycobacterium phage 39HC	National Center for Biotechnology Information (NCBI), National University of Rosario	2700989066	dsDNA viruses, no RNA stage	Caudoviricetes	Caudovirales	Siphoviridae	unclassified	Mycobacterium phage 39HC	0	0	1463809		71565	100	
638275486	Viruses	Finished	Australian bat lyssavirus	Australian bat lyssavirus	Livestock Industries, Commonwealth Scientific and Industrial Research Organisation (CSIRO)	638275486	ssRNA viruses	unclassified	unclassified	unclassified	Lyssavirus	Australian bat lyssavirus	0	IMG/W 2.0	90961		11822	5	
638276523	Viruses	Finished	Omsk hemorrhagic fever virus	Omsk hemorrhagic fever virus	University of Texas Medical Branch	638276523	ssRNA viruses	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Omsk hemorrhagic fever virus	0	IMG/W 2.0	12542		10787	1	
650627070	Viruses	Finished	Passion fruit woodiness virus	Passion fruit woodiness virus	Murdoch University	650627070	ssRNA viruses	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Passion fruit woodiness virus	0	IMG/W 3.4	31732		9858	1	
646558419	Viruses	Finished	Chronic bee paralysis virus	Chronic bee paralysis virus		646558419	ssRNA viruses	unclassified	unclassified	unclassified	unclassified	Chronic bee paralysis virus	0	IMG/W 3.1	180822		5979	7	
2738541603	Viruses	Permanent Draft	Redefining the invertebrate RNA virosphere	Beihai mantis shrimp virus 1 BHXG26050	BGI Tech Solutions Co., Ltd.	2738541603	ssRNA (+) viruses	unclassified	unclassified	unclassified	unclassified	Beihai mantis shrimp virus 1	0	0	1922428	BHXG26050	10973	6	
638276777	Viruses	Permanent Draft	Sida golden mosaic Honduras virus	Sida golden mosaic Honduras virus	University of Stuttgart	638276777	ssDNA viruses	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Sida golden mosaic Honduras virus	0	IMG/W 2.0	223316		5192	7	
2595698409	Viruses	Finished	Synechococcus phage S-MbCM6	Synechococcus phage S-MbCM6	University of Arizona	2595698409	dsDNA viruses, no RNA stage	Caudoviricetes	Caudovirales	Myoviridae	Acionnavirus	Synechococcus phage ACG-2014c	0	0	1079998		176043	225	
2595698387	Viruses	Finished	Grapevine red blotch virus	Grapevine red blotch virus	University of California, Davis	2595698387	ssDNA viruses	Repensiviricetes	Geplafuvirales	Geminiviridae	Grablovirus	Grapevine red blotch virus	0	0	1381007		3206	6	
641509443	Viruses	Finished	Mycobacterium phage Bethlehem	Mycobacterium phage Bethlehem	University of Pittsburgh	641509443	dsDNA viruses, no RNA stage	Caudoviricetes	Caudovirales	Siphoviridae	Fromanvirus	Mycobacterium virus Bethlehem	0	IMG/W 2.5	260121		52250	87	
